Gene name	GO domain	GO term name	GO term accession
HLA-DRB5	biological_process	adaptive immune response	GO:0002250
HLA-DRB5	biological_process	positive regulation of immune response	GO:0050778
CD83	biological_process	defense response	GO:0006952
SERPINB9	biological_process	immune response	GO:0006955
IRF7	biological_process	innate immune response	GO:0045087
IRF7	biological_process	innate immune response	GO:0045087
IRF7	biological_process	immune system process	GO:0002376
IRF7	biological_process	innate immune response	GO:0045087
IRF7	biological_process	innate immune response	GO:0045087
IRF7	biological_process	immune system process	GO:0002376
IRF7	biological_process	innate immune response	GO:0045087
IRF7	biological_process	innate immune response	GO:0045087
IRF7	biological_process	immune system process	GO:0002376
IRF7	biological_process	innate immune response	GO:0045087
IRF7	biological_process	innate immune response	GO:0045087
IRF7	biological_process	immune system process	GO:0002376
IRF7	biological_process	innate immune response	GO:0045087
IRF7	biological_process	innate immune response	GO:0045087
IRF7	biological_process	immune system process	GO:0002376
IRF7	biological_process	innate immune response	GO:0045087
IRF7	biological_process	innate immune response	GO:0045087
IRF7	biological_process	immune system process	GO:0002376
IGF1	biological_process	cell activation	GO:0001775
IGF1	biological_process	cell activation	GO:0001775
IGF1	biological_process	cell activation	GO:0001775
IGF1	biological_process	cell activation	GO:0001775
IGF1	biological_process	cell activation	GO:0001775
IGF1	biological_process	cell activation	GO:0001775
PLCG2	biological_process	cell activation	GO:0001775
PLCG2	biological_process	cell activation	GO:0001775
FFAR2	biological_process	immune system process	GO:0002376
FFAR2	biological_process	immune system process	GO:0002376
CCL5	biological_process	immune response	GO:0006955
CCL5	molecular_function	chemokine activity	GO:0008009
CCL5	molecular_function	cytokine activity	GO:0005125
CCL5	molecular_function	chemokine activity	GO:0008009
CCL5	molecular_function	chemokine activity	GO:0008009
CCL5	molecular_function	chemokine activity	GO:0008009
CCL5	biological_process	immune response	GO:0006955
CCL5	molecular_function	chemokine activity	GO:0008009
CCL5	molecular_function	cytokine activity	GO:0005125
CCL5	molecular_function	chemokine activity	GO:0008009
CCL5	molecular_function	chemokine activity	GO:0008009
CCL5	molecular_function	chemokine activity	GO:0008009
TLR2	biological_process	immune response	GO:0006955
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	immune response	GO:0006955
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	immune response	GO:0006955
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	immune response	GO:0006955
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	immune response	GO:0006955
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	immune response	GO:0006955
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	immune response	GO:0006955
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	immune response	GO:0006955
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	immune response	GO:0006955
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	immune response	GO:0006955
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	immune response	GO:0006955
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	immune response	GO:0006955
TLR2	biological_process	innate immune response	GO:0045087
TLR2	biological_process	innate immune response	GO:0045087
STAT3	biological_process	defense response	GO:0006952
STAT3	biological_process	defense response	GO:0006952
STAT3	biological_process	defense response	GO:0006952
STAT3	biological_process	defense response	GO:0006952
STAT3	biological_process	defense response	GO:0006952
STAT3	biological_process	defense response	GO:0006952
STAT3	biological_process	defense response	GO:0006952
STAT3	biological_process	defense response	GO:0006952
STAT3	biological_process	defense response	GO:0006952
STAT3	biological_process	defense response	GO:0006952
STAT3	biological_process	defense response	GO:0006952
CXCR4	biological_process	immune response	GO:0006955
CXCR4	biological_process	immune response	GO:0006955
CTLA4	biological_process	immune response	GO:0006955
CTLA4	biological_process	adaptive immune response	GO:0002250
CTLA4	biological_process	immune response	GO:0006955
CTLA4	biological_process	immune response	GO:0006955
CTLA4	biological_process	adaptive immune response	GO:0002250
CTLA4	biological_process	immune response	GO:0006955
CTLA4	biological_process	immune response	GO:0006955
CTLA4	biological_process	adaptive immune response	GO:0002250
CTLA4	biological_process	immune response	GO:0006955
IL36G	molecular_function	cytokine activity	GO:0005125
IL36G	biological_process	immune response	GO:0006955
IL36G	biological_process	innate immune response	GO:0045087
IL36G	biological_process	immune response	GO:0006955
IL36G	molecular_function	cytokine activity	GO:0005125
IL36G	molecular_function	cytokine activity	GO:0005125
IL36G	biological_process	immune response	GO:0006955
IL36G	biological_process	innate immune response	GO:0045087
IL36G	biological_process	immune response	GO:0006955
IL36G	molecular_function	cytokine activity	GO:0005125
IL36A	molecular_function	cytokine activity	GO:0005125
IL36A	biological_process	immune response	GO:0006955
IL36A	biological_process	innate immune response	GO:0045087
IL36A	biological_process	immune response	GO:0006955
IL36A	biological_process	immune response	GO:0006955
IL36A	molecular_function	cytokine activity	GO:0005125
IL1RN	molecular_function	cytokine activity	GO:0005125
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	molecular_function	cytokine activity	GO:0005125
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	molecular_function	cytokine activity	GO:0005125
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	molecular_function	cytokine activity	GO:0005125
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	molecular_function	cytokine activity	GO:0005125
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	molecular_function	cytokine activity	GO:0005125
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	molecular_function	cytokine activity	GO:0005125
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	molecular_function	cytokine activity	GO:0005125
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1RN	biological_process	immune response	GO:0006955
IL1A	molecular_function	cytokine activity	GO:0005125
IL1A	biological_process	immune response	GO:0006955
IL1A	biological_process	immune response	GO:0006955
IL1A	molecular_function	cytokine activity	GO:0005125
IL1A	molecular_function	cytokine activity	GO:0005125
IL1A	molecular_function	cytokine activity	GO:0005125
RAPGEF3	biological_process	adaptive immune response	GO:0002250
RAPGEF3	biological_process	adaptive immune response	GO:0002250
RAPGEF3	biological_process	adaptive immune response	GO:0002250
RAPGEF3	biological_process	adaptive immune response	GO:0002250
RAPGEF3	biological_process	adaptive immune response	GO:0002250
CD300E	biological_process	immune system process	GO:0002376
KLRD1	biological_process	innate immune response	GO:0045087
KLRD1	biological_process	adaptive immune response	GO:0002250
KLRD1	biological_process	innate immune response	GO:0045087
KLRD1	biological_process	adaptive immune response	GO:0002250
KLRD1	biological_process	innate immune response	GO:0045087
KLRD1	biological_process	adaptive immune response	GO:0002250
KLRC1	biological_process	innate immune response	GO:0045087
KLRC1	biological_process	adaptive immune response	GO:0002250
KLRC1	biological_process	innate immune response	GO:0045087
KLRC1	biological_process	adaptive immune response	GO:0002250
KLRC1	biological_process	innate immune response	GO:0045087
KLRC1	biological_process	adaptive immune response	GO:0002250
KLRC1	biological_process	innate immune response	GO:0045087
KLRC1	biological_process	adaptive immune response	GO:0002250
LAMP3	biological_process	adaptive immune response	GO:0002250
CSF3	molecular_function	cytokine activity	GO:0005125
CSF3	biological_process	immune response	GO:0006955
CSF3	molecular_function	cytokine activity	GO:0005125
CSF3	molecular_function	cytokine activity	GO:0005125
CSF3	molecular_function	cytokine activity	GO:0005125
CSF3	molecular_function	cytokine activity	GO:0005125
CSF3	biological_process	immune response	GO:0006955
CSF3	molecular_function	cytokine activity	GO:0005125
CSF3	molecular_function	cytokine activity	GO:0005125
CSF3	molecular_function	cytokine activity	GO:0005125
CSF3	molecular_function	cytokine activity	GO:0005125
CSF3	biological_process	immune response	GO:0006955
CSF3	molecular_function	cytokine activity	GO:0005125
CSF3	molecular_function	cytokine activity	GO:0005125
CSF3	molecular_function	cytokine activity	GO:0005125
CD8A	biological_process	adaptive immune response	GO:0002250
CD8A	biological_process	immune response	GO:0006955
CD8A	biological_process	adaptive immune response	GO:0002250
CD8A	biological_process	adaptive immune response	GO:0002250
CD8A	biological_process	immune response	GO:0006955
CD8A	biological_process	adaptive immune response	GO:0002250
CD8A	biological_process	adaptive immune response	GO:0002250
CD8A	biological_process	immune response	GO:0006955
CD8A	biological_process	adaptive immune response	GO:0002250
CD8A	biological_process	adaptive immune response	GO:0002250
CD8A	biological_process	immune response	GO:0006955
CD8A	biological_process	adaptive immune response	GO:0002250
CD3D	biological_process	adaptive immune response	GO:0002250
CD3D	biological_process	adaptive immune response	GO:0002250
CD3D	biological_process	adaptive immune response	GO:0002250
CD3D	biological_process	adaptive immune response	GO:0002250
CD207	biological_process	immune response	GO:0006955
IL23R	biological_process	innate immune response	GO:0045087
IL23R	biological_process	innate immune response	GO:0045087
IL23R	biological_process	innate immune response	GO:0045087
IL23R	biological_process	innate immune response	GO:0045087
IL23R	biological_process	innate immune response	GO:0045087
IL23R	biological_process	innate immune response	GO:0045087
IL23R	biological_process	innate immune response	GO:0045087
IL23R	biological_process	innate immune response	GO:0045087
CCR7	biological_process	immune response	GO:0006955
CCR7	biological_process	immune response	GO:0006955
S100A12	biological_process	innate immune response	GO:0045087
S100A12	biological_process	innate immune response	GO:0045087
FCGR3A	biological_process	immune system process	GO:0002376
FCGR3A	biological_process	immune response	GO:0006955
FCGR3A	biological_process	immune system process	GO:0002376
FCGR3A	biological_process	immune response	GO:0006955
FCGR3A	biological_process	immune system process	GO:0002376
FCGR3A	biological_process	immune response	GO:0006955
FCGR3A	biological_process	immune system process	GO:0002376
FCGR3A	biological_process	immune response	GO:0006955
FCGR3A	biological_process	immune system process	GO:0002376
FCGR3A	biological_process	immune response	GO:0006955
FCGR3A	biological_process	immune system process	GO:0002376
FCGR3A	biological_process	immune response	GO:0006955
CD247	biological_process	adaptive immune response	GO:0002250
CD247	biological_process	adaptive immune response	GO:0002250
CD247	biological_process	adaptive immune response	GO:0002250
CD247	biological_process	adaptive immune response	GO:0002250
MS4A2	biological_process	immune response	GO:0006955
CD28	biological_process	immune response	GO:0006955
CD28	biological_process	immune response	GO:0006955
CD28	biological_process	immune response	GO:0006955
PDCD1	biological_process	adaptive immune response	GO:0002250
CSF3R	biological_process	defense response	GO:0006952
CSF3R	biological_process	defense response	GO:0006952
CSF3R	biological_process	defense response	GO:0006952
ACKR1	biological_process	defense response	GO:0006952
ACKR1	biological_process	defense response	GO:0006952
TLR5	biological_process	immune response	GO:0006955
TLR5	biological_process	innate immune response	GO:0045087
SLAMF1	biological_process	innate immune response	GO:0045087
SLAMF1	biological_process	adaptive immune response	GO:0002250
SLAMF1	biological_process	immune response	GO:0006955
SLAMF1	biological_process	innate immune response	GO:0045087
SLAMF1	biological_process	adaptive immune response	GO:0002250
SLAMF1	biological_process	immune response	GO:0006955
SLAMF7	biological_process	innate immune response	GO:0045087
SLAMF7	biological_process	adaptive immune response	GO:0002250
SLAMF7	biological_process	immune response	GO:0006955
SLAMF7	biological_process	innate immune response	GO:0045087
SLAMF7	biological_process	adaptive immune response	GO:0002250
SLAMF7	biological_process	immune response	GO:0006955
SLAMF7	biological_process	innate immune response	GO:0045087
SLAMF7	biological_process	adaptive immune response	GO:0002250
SLAMF7	biological_process	immune response	GO:0006955
SLAMF7	biological_process	innate immune response	GO:0045087
SLAMF7	biological_process	adaptive immune response	GO:0002250
SLAMF7	biological_process	immune response	GO:0006955
SLAMF7	biological_process	innate immune response	GO:0045087
SLAMF7	biological_process	adaptive immune response	GO:0002250
SLAMF7	biological_process	immune response	GO:0006955
SLAMF7	biological_process	innate immune response	GO:0045087
SLAMF7	biological_process	adaptive immune response	GO:0002250
SLAMF7	biological_process	immune response	GO:0006955
MARCO	biological_process	innate immune response	GO:0045087
